stockid,year,TCbest,TBbest,TBdivTBmsy,areaid,stocklong,scientificname,commonname,group,kingdom,phylum,class,order,family,genus,AphiaID,Vulnerability,LongevityWild,Length,resilience_score,adjusted_catch,smoothed_catch,status,trend
COD1IN,1917,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1917,36,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,7.2,5.466666666666667,NA,-0.09266666666667622
SOLEVIIbc,1917,6,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,3.5999999999999996,6.6,NA,-0.7079999999999768
SPURDNEATL,1917,339,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,67.8,231.53333333333333,NA,0
COD1IN,1918,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1918,29,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,5.800000000000001,5.800000000000001,NA,-0.09266666666667622
SOLEVIIbc,1918,7,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,4.2,5.4,NA,-0.7079999999999768
SPURDNEATL,1918,451,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,90.2,88.26666666666667,NA,0
COD1IN,1919,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1919,33,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,6.6000000000000005,6.533333333333334,NA,-0.09266666666667622
SOLEVIIbc,1919,6,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,3.5999999999999996,3.8,NA,-0.7079999999999768
SPURDNEATL,1919,2660,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,532,230,NA,0
COD1IN,1920,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1920,40,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,8,6.800000000000001,NA,-0.09266666666667622
SOLEVIIbc,1920,14,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,8.4,5.4,NA,-0.7079999999999768
SPURDNEATL,1920,4400,338000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,880,500.73333333333335,NA,0
COD1IN,1921,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1921,43,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,8.6,7.733333333333333,NA,-0.09266666666667622
SOLEVIIbc,1921,19,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,11.4,7.8,NA,-0.7079999999999768
SPURDNEATL,1921,5320,337000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1064,825.3333333333334,NA,0
COD1IN,1922,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1922,38,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,7.6000000000000005,8.066666666666666,NA,-0.09266666666667622
SOLEVIIbc,1922,13,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,7.8,9.2,NA,-0.7079999999999768
SPURDNEATL,1922,5400,336000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1080,1008,NA,0
COD1IN,1923,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1923,31,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,6.2,7.466666666666667,NA,-0.09266666666667622
SOLEVIIbc,1923,12,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,7.199999999999999,8.8,NA,-0.7079999999999768
SPURDNEATL,1923,5660,335000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1132,1092,NA,0
COD1IN,1924,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1924,170,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,34,15.933333333333334,NA,-0.09266666666667622
SOLEVIIbc,1924,79,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,47.4,20.8,NA,-0.7079999999999768
SPURDNEATL,1924,6360,334000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1272,1161.3333333333333,NA,0
COD1IN,1925,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1925,33,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,6.6000000000000005,15.6,NA,-0.09266666666667622
SOLEVIIbc,1925,29,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,17.4,24,NA,-0.7079999999999768
SPURDNEATL,1925,6720,333000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1344,1249.3333333333333,NA,0
COD1IN,1926,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1926,65,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,13,17.866666666666667,NA,-0.09266666666667622
PORSHARNEATL,1926,279,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,Lamna nasus,Porbeagle shark,3,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,105841,74.1,65,350,0.2,55.800000000000004,NA,NA,-9.739999999999764
SOLEVIIbc,1926,35,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,21,28.599999999999998,NA,-0.7079999999999768
SPURDNEATL,1926,7280,331000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1456,1357.3333333333333,NA,0
COD1IN,1927,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1927,185,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,37,18.866666666666667,NA,-0.09266666666667622
PORSHARNEATL,1927,457,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,Lamna nasus,Porbeagle shark,3,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,105841,74.1,65,350,0.2,91.4,NA,NA,-9.739999999999764
SOLEVIIbc,1927,77,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,46.199999999999996,28.2,NA,-0.7079999999999768
SPURDNEATL,1927,8400,330000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1680,1493.3333333333333,NA,0
COD1IN,1928,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1928,82,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,16.400000000000002,22.133333333333333,NA,-0.09266666666667622
PORSHARNEATL,1928,611,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,Lamna nasus,Porbeagle shark,3,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,105841,74.1,65,350,0.2,122.2,89.80000000000001,NA,-9.739999999999764
SOLEVIIbc,1928,73,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,43.8,37,NA,-0.7079999999999768
SPURDNEATL,1928,9520,328000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1904,1680,NA,0
COD1IN,1929,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1929,318,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,63.6,39,NA,-0.09266666666667622
PORSHARNEATL,1929,832,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,Lamna nasus,Porbeagle shark,3,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,105841,74.1,65,350,0.2,166.4,126.66666666666667,NA,-9.739999999999764
SOLEVIIbc,1929,103,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,61.8,50.599999999999994,NA,-0.7079999999999768
SPURDNEATL,1929,9320,326000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,1864,1816,NA,0
COD1IN,1930,0,0,NA,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Gadus morhua,Atlantic cod,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,126436,65.4,25,200,0.2,0,0,NA,535.333333333354
PLAICVIIbc,1930,146,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,29.200000000000003,36.400000000000006,NA,-0.09266666666667622
