"year","scientificname","group","commonname","total_catch","total_biomass"
1930,"Pleuronectes platessa",3,"European Plaice",146,0
1930,"Solea solea",3,"Common sole",79,0
1930,"Squalus acanthias",3,"Spurdog",11900,325000
1931,"Gadus morhua",4,"Atlantic cod",0,0
1931,"Lamna nasus",3,"Porbeagle shark",1110,0
1931,"Pleuronectes platessa",3,"European Plaice",304,0
1931,"Solea solea",3,"Common sole",120,0
1931,"Squalus acanthias",3,"Spurdog",11800,322000
1932,"Gadus morhua",4,"Atlantic cod",0,0
1932,"Lamna nasus",3,"Porbeagle shark",1600,0
1932,"Pleuronectes platessa",3,"European Plaice",506,0
1932,"Solea solea",3,"Common sole",159,0
1932,"Squalus acanthias",3,"Spurdog",16700,320000
1933,"Gadus morhua",4,"Atlantic cod",0,0
1933,"Lamna nasus",3,"Porbeagle shark",3880,0
1933,"Pleuronectes platessa",3,"European Plaice",653,0
1933,"Solea solea",3,"Common sole",431,0
1933,"Squalus acanthias",3,"Spurdog",20200,317000
1934,"Gadus morhua",4,"Atlantic cod",0,0
1934,"Lamna nasus",3,"Porbeagle shark",3630,0
1934,"Pleuronectes platessa",3,"European Plaice",470,0
1934,"Solea solea",3,"Common sole",240,0
1934,"Squalus acanthias",3,"Spurdog",20400,313000
1935,"Gadus morhua",4,"Atlantic cod",0,0
1935,"Lamna nasus",3,"Porbeagle shark",1990,0
1935,"Pleuronectes platessa",3,"European Plaice",300,0
1935,"Reinhardtius hippoglossoides",4,"Greenland halibut",1530,0
1935,"Solea solea",3,"Common sole",58,0
1935,"Squalus acanthias",3,"Spurdog",22300,309000
1936,"Gadus morhua",4,"Atlantic cod",0,0
1936,"Lamna nasus",3,"Porbeagle shark",2460,0
1936,"Pleuronectes platessa",3,"European Plaice",349,0
1936,"Reinhardtius hippoglossoides",4,"Greenland halibut",830,0
1936,"Solea solea",3,"Common sole",72,0
1936,"Squalus acanthias",3,"Spurdog",20900,304000
1937,"Gadus morhua",4,"Atlantic cod",0,0
1937,"Lamna nasus",3,"Porbeagle shark",2810,0
1937,"Pleuronectes platessa",3,"European Plaice",326,0
1937,"Reinhardtius hippoglossoides",4,"Greenland halibut",616,0
1937,"Solea solea",3,"Common sole",71,0
1937,"Squalus acanthias",3,"Spurdog",23900,3e+05
1938,"Gadus morhua",4,"Atlantic cod",0,0
1938,"Lamna nasus",3,"Porbeagle shark",2730,0
1938,"Pleuronectes platessa",3,"European Plaice",404,0
1938,"Reinhardtius hippoglossoides",4,"Greenland halibut",329,0
1938,"Solea solea",3,"Common sole",72,0
1938,"Squalus acanthias",3,"Spurdog",18200,296000
1939,"Gadus morhua",4,"Atlantic cod",0,0
1939,"Lamna nasus",3,"Porbeagle shark",2210,0
1939,"Pleuronectes platessa",3,"European Plaice",24,0
1939,"Reinhardtius hippoglossoides",4,"Greenland halibut",459,0
1939,"Solea solea",3,"Common sole",13,0
1939,"Squalus acanthias",3,"Spurdog",20100,293000
1940,"Gadus morhua",4,"Atlantic cod",0,0
1940,"Lamna nasus",3,"Porbeagle shark",104,0
1940,"Pleuronectes platessa",3,"European Plaice",47,0
1940,"Reinhardtius hippoglossoides",4,"Greenland halibut",846,0
1940,"Solea solea",3,"Common sole",19,0
1940,"Squalus acanthias",3,"Spurdog",9430,290000
1941,"Gadus morhua",4,"Atlantic cod",0,0
1941,"Lamna nasus",3,"Porbeagle shark",283,0
1941,"Pleuronectes platessa",3,"European Plaice",43,0
1941,"Reinhardtius hippoglossoides",4,"Greenland halibut",1660,0
1941,"Solea solea",3,"Common sole",14,0
1941,"Squalus acanthias",3,"Spurdog",8740,289000
1942,"Gadus morhua",4,"Atlantic cod",0,0
1942,"Lamna nasus",3,"Porbeagle shark",288,0
1942,"Pleuronectes platessa",3,"European Plaice",41,0
1942,"Reinhardtius hippoglossoides",4,"Greenland halibut",955,0
1942,"Solea solea",3,"Common sole",8,0
1942,"Squalus acanthias",3,"Spurdog",10600,289000
1943,"Gadus morhua",4,"Atlantic cod",0,0
1943,"Lamna nasus",3,"Porbeagle shark",351,0
1943,"Pleuronectes platessa",3,"European Plaice",29,0
1943,"Reinhardtius hippoglossoides",4,"Greenland halibut",824,0
1943,"Solea solea",3,"Common sole",11,0
1943,"Squalus acanthias",3,"Spurdog",8180,289000
1944,"Gadus morhua",4,"Atlantic cod",0,0
1944,"Lamna nasus",3,"Porbeagle shark",321,0
1944,"Pleuronectes platessa",3,"European Plaice",42,0
1944,"Reinhardtius hippoglossoides",4,"Greenland halibut",678,0
1944,"Solea solea",3,"Common sole",16,0
1944,"Squalus acanthias",3,"Spurdog",8150,290000
1945,"Gadus morhua",4,"Atlantic cod",0,0
1945,"Lamna nasus",3,"Porbeagle shark",927,0
1945,"Pleuronectes platessa",3,"European Plaice",30,0
1945,"Reinhardtius hippoglossoides",4,"Greenland halibut",1150,0
1945,"Solea solea",3,"Common sole",20,0
1945,"Squalus acanthias",3,"Spurdog",6780,290000
1946,"Gadus morhua",4,"Atlantic cod",706000,4200000
1946,"Lamna nasus",3,"Porbeagle shark",2490,0
1946,"Pleuronectes platessa",3,"European Plaice",37,0
1946,"Reinhardtius hippoglossoides",4,"Greenland halibut",1360,0
1946,"Solea solea",3,"Common sole",22,0
1946,"Squalus acanthias",3,"Spurdog",10900,292000
1947,"Clupea harengus",3,"Herring",582000,9670000
1947,"Gadus morhua",4,"Atlantic cod",882000,3640000
1947,"Lamna nasus",3,"Porbeagle shark",6120,0
1947,"Melanogrammus aeglefinus",4,"Haddock",0,0
1947,"Pleuronectes platessa",3,"European Plaice",50,0
1947,"Reinhardtius hippoglossoides",4,"Greenland halibut",1440,0
1947,"Solea solea",3,"Common sole",29,0
1947,"Squalus acanthias",3,"Spurdog",16900,292000
1948,"Clupea harengus",3,"Herring",502000,8450000
1948,"Gadus morhua",4,"Atlantic cod",774000,3520000
1948,"Lamna nasus",3,"Porbeagle shark",4010,0
1948,"Melanogrammus aeglefinus",4,"Haddock",0,0
1948,"Pagellus bogaraveo",3,"Red seabream",456,0
1948,"Pleuronectes platessa",3,"European Plaice",55,0
1948,"Reinhardtius hippoglossoides",4,"Greenland halibut",1990,0
1948,"Solea solea",3,"Common sole",25,0
1948,"Squalus acanthias",3,"Spurdog",19500,290000
1949,"Clupea harengus",3,"Herring",509000,8250000
1949,"Gadus morhua",4,"Atlantic cod",8e+05,3010000
1949,"Lamna nasus",3,"Porbeagle shark",2950,0
1949,"Melanogrammus aeglefinus",4,"Haddock",0,0
1949,"Pagellus bogaraveo",3,"Red seabream",556,0
1949,"Pleuronectes platessa",3,"European Plaice",83,0
1949,"Reinhardtius hippoglossoides",4,"Greenland halibut",375,0
1949,"Solea solea",3,"Common sole",65,0
1949,"Squalus acanthias",3,"Spurdog",23000,288000
1950,"Clupea harengus",3,"Herring",492000,8220000
1950,"Gadus morhua",4,"Atlantic cod",732000,2830000
1950,"Lamna nasus",3,"Porbeagle shark",3260,0
1950,"Melanogrammus aeglefinus",4,"Haddock",132000,382000
1950,"Pagellus bogaraveo",3,"Red seabream",8830,0
1950,"Pleuronectes platessa",3,"European Plaice",347,0
1950,"Reinhardtius hippoglossoides",4,"Greenland halibut",2070,0
1950,"Scophthalmus rhombus",3,"Brill",0,0
1950,"Solea solea",3,"Common sole",39,0
1950,"Squalus acanthias",3,"Spurdog",24800,285000
1951,"Clupea harengus",3,"Herring",6e+05,8440000
1951,"Gadus morhua",4,"Atlantic cod",827000,3650000
1951,"Lamna nasus",3,"Porbeagle shark",2380,0
1951,"Melanogrammus aeglefinus",4,"Haddock",120000,430000
1951,"Pagellus bogaraveo",3,"Red seabream",348,0
1951,"Pleuronectes platessa",3,"European Plaice",143,0
1951,"Reinhardtius hippoglossoides",4,"Greenland halibut",2860,0
1951,"Scophthalmus rhombus",3,"Brill",0,0
1951,"Solea solea",3,"Common sole",40,0
1951,"Squalus acanthias",3,"Spurdog",35300,282000
1952,"Clupea harengus",3,"Herring",664000,8220000
1952,"Gadus morhua",4,"Atlantic cod",994000,4050000
1952,"Lamna nasus",3,"Porbeagle shark",2210,0
1952,"Melanogrammus aeglefinus",4,"Haddock",128000,423000
1952,"Pagellus bogaraveo",3,"Red seabream",903,0
1952,"Pleuronectes platessa",3,"European Plaice",184,0
1952,"Reinhardtius hippoglossoides",4,"Greenland halibut",2950,0
1952,"Scophthalmus rhombus",3,"Brill",0,0
1952,"Solea solea",3,"Common sole",48,0
1952,"Squalus acanthias",3,"Spurdog",40600,275000
1953,"Clupea harengus",3,"Herring",699000,7870000
1953,"Gadus morhua",4,"Atlantic cod",876000,4120000
1953,"Lamna nasus",3,"Porbeagle shark",1820,0
1953,"Melanogrammus aeglefinus",4,"Haddock",124000,684000
1953,"Pagellus bogaraveo",3,"Red seabream",743,0
1953,"Pleuronectes platessa",3,"European Plaice",396,0
1953,"Reinhardtius hippoglossoides",4,"Greenland halibut",2600,0
1953,"Scophthalmus rhombus",3,"Brill",0,0
1953,"Solea solea",3,"Common sole",105,0
1953,"Squalus acanthias",3,"Spurdog",38200,268000
1954,"Clupea harengus",3,"Herring",763000,7640000
1954,"Gadus morhua",4,"Atlantic cod",1093000,4260000
1954,"Lamna nasus",3,"Porbeagle shark",1250,0
1954,"Melanogrammus aeglefinus",4,"Haddock",157000,756000
1954,"Pagellus bogaraveo",3,"Red seabream",367,0
1954,"Pleuronectes platessa",3,"European Plaice",350,0
1954,"Reinhardtius hippoglossoides",4,"Greenland halibut",4090,0
1954,"Scophthalmus rhombus",3,"Brill",0,0
1954,"Solea solea",3,"Common sole",124,0
1954,"Squalus acanthias",3,"Spurdog",40600,261000
1955,"Clupea harengus",3,"Herring",806000,7160000
1955,"Gadus morhua",4,"Atlantic cod",1936000,5910000
1955,"Lamna nasus",3,"Porbeagle shark",1480,0
1955,"Melanogrammus aeglefinus",4,"Haddock",202000,729000
1955,"Pagellus bogaraveo",3,"Red seabream",400,0
1955,"Pleuronectes platessa",3,"European Plaice",210,0
1955,"Reinhardtius hippoglossoides",4,"Greenland halibut",3300,0
1955,"Scophthalmus rhombus",3,"Brill",0,0
1955,"Solea solea",3,"Common sole",76,0
1955,"Squalus acanthias",3,"Spurdog",43100,254000
1956,"Clupea harengus",3,"Herring",675000,6460000
1956,"Clupea harengus",4,"Herring",0,0
1956,"Gadus morhua",4,"Atlantic cod",2123000,5400000
1956,"Lamna nasus",3,"Porbeagle shark",1320,0
1956,"Melanogrammus aeglefinus",4,"Haddock",214000,625000
1956,"Pagellus bogaraveo",3,"Red seabream",613,0
1956,"Pleuronectes platessa",3,"European Plaice",239,0
1956,"Pleuronectes platessa",4,"European Plaice",0,0
1956,"Reinhardtius hippoglossoides",4,"Greenland halibut",3940,0
1956,"Scophthalmus rhombus",3,"Brill",0,0
1956,"Solea solea",3,"Common sole",168,0
1956,"Solea solea",4,"Common sole",0,0
1956,"Squalus acanthias",3,"Spurdog",47000,246000
1957,"Clupea harengus",3,"Herring",731500,7135000
1957,"Clupea harengus",4,"Herring",43400,412000
1957,"Gadus morhua",4,"Atlantic cod",1474000,4690000
1957,"Lamna nasus",3,"Porbeagle shark",1660,0
1957,"Melanogrammus aeglefinus",4,"Haddock",145000,520900
1957,"Pagellus bogaraveo",3,"Red seabream",771,0
1957,"Pleuronectes platessa",3,"European Plaice",141,0
1957,"Pleuronectes platessa",4,"European Plaice",78400,402000
1957,"Pollachius virens",4,"Pollock",0,0
1957,"Reinhardtius hippoglossoides",4,"Greenland halibut",4640,0
1957,"Scophthalmus rhombus",3,"Brill",0,0
1957,"Solea solea",3,"Common sole",99,0
1957,"Solea solea",4,"Common sole",12100,71600
1957,"Squalus acanthias",3,"Spurdog",45600,238000
1958,"Clupea harengus",3,"Herring",760500,7366000
1958,"Clupea harengus",4,"Herring",59700,506000
1958,"Gadus morhua",4,"Atlantic cod",1544000,4280000
1958,"Lamna nasus",3,"Porbeagle shark",1740,0
1958,"Melanogrammus aeglefinus",4,"Haddock",136900,398400
1958,"Pagellus bogaraveo",3,"Red seabream",551,0
1958,"Pleuronectes platessa",3,"European Plaice",275,0
1958,"Pleuronectes platessa",4,"European Plaice",88200,421000
1958,"Pollachius virens",4,"Pollock",0,0
1958,"Reinhardtius hippoglossoides",4,"Greenland halibut",4190,0
1958,"Scophthalmus rhombus",3,"Brill",0,0
1958,"Solea solea",3,"Common sole",171,0
1958,"Solea solea",4,"Common sole",14300,77100
1958,"Squalus acanthias",3,"Spurdog",50400,230000
1959,"Clupea harengus",3,"Herring",870500,8045000
1959,"Clupea harengus",4,"Herring",65200,543000
1959,"Gadus morhua",4,"Atlantic cod",1417400,4645500
1959,"Lamna nasus",3,"Porbeagle shark",1760,0
1959,"Melanogrammus aeglefinus",4,"Haddock",108400,419300
1959,"Pagellus bogaraveo",3,"Red seabream",542,0
1959,"Pleuronectes platessa",3,"European Plaice",451,0
1959,"Pleuronectes platessa",4,"European Plaice",109000,457000
1959,"Pollachius virens",4,"Pollock",0,0
1959,"Reinhardtius hippoglossoides",4,"Greenland halibut",7940,0
1959,"Scophthalmus rhombus",3,"Brill",0,0
1959,"Solea solea",3,"Common sole",336,0
1959,"Solea solea",4,"Common sole",13800,87000
1959,"Squalus acanthias",3,"Spurdog",47400,221000
1960,"Clupea harengus",3,"Herring",783500,6743000
1960,"Clupea harengus",4,"Herring",63800,437000
1960,"Gadus morhua",4,"Atlantic cod",1325300,4246300
1960,"Lamna nasus",3,"Porbeagle shark",2300,0
1960,"Melanogrammus aeglefinus",4,"Haddock",180700,513400
1960,"Nephrops norvegicus",4,"Norway lobster",392,0
1960,"Pagellus bogaraveo",3,"Red seabream",13900,0
1960,"Pleuronectes platessa",3,"European Plaice",246,0
1960,"Pleuronectes platessa",4,"European Plaice",117000,486000
1960,"Pollachius virens",4,"Pollock",134000,687000
1960,"Reinhardtius hippoglossoides",4,"Greenland halibut",11000,0
1960,"Scophthalmus maximus",4,"Turbot",174,0
1960,"Scophthalmus rhombus",3,"Brill",0,0
1960,"Solea solea",3,"Common sole",90,0
1960,"Solea solea",4,"Common sole",18600,98100
1960,"Sprattus sprattus",3,"Sprat",5,0
1960,"Squalus acanthias",3,"Spurdog",54000,214000
1961,"Clupea harengus",3,"Herring",764900,6838000
1961,"Clupea harengus",4,"Herring",46400,444000
1961,"Gadus morhua",4,"Atlantic cod",1474600,3957900
1961,"Lamna nasus",3,"Porbeagle shark",1490,0
1961,"Melanogrammus aeglefinus",4,"Haddock",213800,498400
1961,"Merlangius merlangus",4,"Whiting",78,0
1961,"Nephrops norvegicus",4,"Norway lobster",1780,0
1961,"Pagellus bogaraveo",3,"Red seabream",8300,0
1961,"Pleuronectes platessa",3,"European Plaice",212,0
1961,"Pleuronectes platessa",4,"European Plaice",118000,499000
1961,"Pollachius virens",4,"Pollock",115590,762000
1961,"Reinhardtius hippoglossoides",4,"Greenland halibut",40800,0
1961,"Scophthalmus maximus",4,"Turbot",179,0
1961,"Scophthalmus rhombus",3,"Brill",0,0
1961,"Solea solea",3,"Common sole",123,0
1961,"Solea solea",4,"Common sole",23600,107000
1961,"Sprattus sprattus",3,"Sprat",1460,0
1961,"Squalus acanthias",3,"Spurdog",57700,205000
1962,"Clupea harengus",3,"Herring",715200,6487000
1962,"Clupea harengus",4,"Herring",58200,552000
1962,"Gadus morhua",3,"Atlantic cod",0,0
1962,"Gadus morhua",4,"Atlantic cod",1720000,3721100
1962,"Lamna nasus",3,"Porbeagle shark",775,0
1962,"Melanogrammus aeglefinus",4,"Haddock",214200,479000
1962,"Merlangius merlangus",4,"Whiting",111,0
1962,"Nephrops norvegicus",4,"Norway lobster",1760,0
1962,"Pagellus bogaraveo",3,"Red seabream",9640,0
1962,"Pleuronectes platessa",3,"European Plaice",281,0
1962,"Pleuronectes platessa",4,"European Plaice",125000,576000
1962,"Pollachius virens",4,"Pollock",131500,829000
1962,"Reinhardtius hippoglossoides",4,"Greenland halibut",3083400,0
1962,"Scophthalmus maximus",4,"Turbot",162,0
1962,"Scophthalmus rhombus",3,"Brill",0,0
1962,"Solea solea",3,"Common sole",108,0
1962,"Solea solea",4,"Common sole",26900,91100
1962,"Sprattus sprattus",3,"Sprat",2330,0
1962,"Squalus acanthias",3,"Spurdog",57300,196000
1963,"Clupea harengus",3,"Herring",787400,6997000
1963,"Clupea harengus",4,"Herring",49000,584000
1963,"Gadus morhua",3,"Atlantic cod",118000,464000
1963,"Gadus morhua",4,"Atlantic cod",1589200,3352900
1963,"Lamna nasus",3,"Porbeagle shark",314,0
1963,"Melanogrammus aeglefinus",4,"Haddock",173600,455000
1963,"Merlangius merlangus",4,"Whiting",92,0
1963,"Nephrops norvegicus",4,"Norway lobster",2840,0
1963,"Pagellus bogaraveo",3,"Red seabream",6900,0
1963,"Pleuronectes platessa",3,"European Plaice",540,0
1963,"Pleuronectes platessa",4,"European Plaice",148000,534000
1963,"Pollachius virens",4,"Pollock",161700,957000
1963,"Reinhardtius hippoglossoides",4,"Greenland halibut",4294500,0
1963,"Scophthalmus maximus",4,"Turbot",128,0
1963,"Scophthalmus rhombus",3,"Brill",0,0
1963,"Solea solea",3,"Common sole",191,0
1963,"Solea solea",4,"Common sole",26200,71900
1963,"Sprattus sprattus",3,"Sprat",1730,0
1963,"Squalus acanthias",3,"Spurdog",62300,187000
1964,"Clupea harengus",3,"Herring",952000,7018000
1964,"Clupea harengus",4,"Herring",64200,534000
1964,"Gadus morhua",3,"Atlantic cod",144000,593000
1964,"Gadus morhua",4,"Atlantic cod",1204100,2802300
1964,"Lamna nasus",3,"Porbeagle shark",316,0
1964,"Melanogrammus aeglefinus",4,"Haddock",118700,454500
1964,"Merlangius merlangus",4,"Whiting",81,0
1964,"Nephrops norvegicus",4,"Norway lobster",2480,0
1964,"Pagellus bogaraveo",3,"Red seabream",6590,0
1964,"Pleuronectes platessa",3,"European Plaice",495,0
1964,"Pleuronectes platessa",4,"European Plaice",148000,549000
1964,"Pollachius virens",4,"Pollock",218900,956000
1964,"Reinhardtius hippoglossoides",4,"Greenland halibut",4790400,0
1964,"Scophthalmus maximus",4,"Turbot",94,0
1964,"Scophthalmus rhombus",3,"Brill",0,0
1964,"Solea solea",3,"Common sole",184,0
1964,"Solea solea",4,"Common sole",11300,68000
1964,"Sprattus sprattus",3,"Sprat",5260,0
1964,"Squalus acanthias",3,"Spurdog",60100,178000
1965,"Clupea harengus",3,"Herring",1265800,6656000
1965,"Clupea harengus",4,"Herring",68700,1130000
1965,"Gadus morhua",3,"Atlantic cod",198000,756000
1965,"Gadus morhua",4,"Atlantic cod",1327540,2561200
1965,"Lamna nasus",3,"Porbeagle shark",381,0
1965,"Limanda limanda",4,"Dab",0,0
1965,"Melanogrammus aeglefinus",4,"Haddock",137500,435700
1965,"Merlangius merlangus",4,"Whiting",125,0
1965,"Nephrops norvegicus",4,"Norway lobster",2060,0
1965,"Pagellus bogaraveo",3,"Red seabream",11500,0
1965,"Platichthys flesus",4,"European flounder",0,0
1965,"Pleuronectes platessa",3,"European Plaice",518,0
1965,"Pleuronectes platessa",4,"European Plaice",140000,508000
1965,"Pollachius virens",4,"Pollock",208200,1010000
1965,"Reinhardtius hippoglossoides",4,"Greenland halibut",7454800,0
1965,"Scophthalmus maximus",4,"Turbot",86,0
1965,"Scophthalmus rhombus",3,"Brill",0,0
1965,"Solea solea",3,"Common sole",124,0
1965,"Solea solea",4,"Common sole",17000,121000
1965,"Sprattus sprattus",3,"Sprat",5120,0
1965,"Squalus acanthias",3,"Spurdog",49300,169000
1966,"Argentina silus",3,"Greater silver smelt",0,0
1966,"Clupea harengus",3,"Herring",1036000,5681000
1966,"Clupea harengus",4,"Herring",101000,858000
1966,"Gadus morhua",3,"Atlantic cod",241000,906000
1966,"Gadus morhua",4,"Atlantic cod",1358310,3730000
1966,"Lamna nasus",3,"Porbeagle shark",364,0
1966,"Limanda limanda",4,"Dab",0,0
1966,"Melanogrammus aeglefinus",4,"Haddock",180800,484600
1966,"Merlangius merlangus",4,"Whiting",3250,0
1966,"Molva dypterygia",3,"Blue ling",1290,0
1966,"Nephrops norvegicus",4,"Norway lobster",2570,0
1966,"Pagellus bogaraveo",3,"Red seabream",7620,0
1966,"Platichthys flesus",4,"European flounder",0,0
1966,"Pleuronectes platessa",3,"European Plaice",128,0
1966,"Pleuronectes platessa",4,"European Plaice",167000,542000
1966,"Pollachius virens",4,"Pollock",229600,983000
1966,"Reinhardtius hippoglossoides",4,"Greenland halibut",8056300,0
1966,"Scophthalmus maximus",4,"Turbot",106,0
1966,"Scophthalmus rhombus",3,"Brill",0,0
1966,"Sebastes norvegicus",4,"Golden Redfish",0,0
1966,"Solea solea",3,"Common sole",12,0
1966,"Solea solea",4,"Common sole",33300,119000
1966,"Sprattus sprattus",3,"Sprat",2870,0
1966,"Squalus acanthias",3,"Spurdog",42700,162000
1967,"Argentina silus",3,"Greater silver smelt",0,0
1967,"Clupea harengus",3,"Herring",832700,4633000
1967,"Clupea harengus",4,"Herring",90400,838000
1967,"Gadus morhua",3,"Atlantic cod",287000,961000
1967,"Gadus morhua",4,"Atlantic cod",1527170,4381000
1967,"Lamna nasus",3,"Porbeagle shark",464,0
1967,"Limanda limanda",4,"Dab",0,0
1967,"Melanogrammus aeglefinus",4,"Haddock",149400,511900
1967,"Merlangius merlangus",4,"Whiting",2120,0
1967,"Molva dypterygia",3,"Blue ling",1320,0
1967,"Nephrops norvegicus",4,"Norway lobster",4010,0
1967,"Pagellus bogaraveo",3,"Red seabream",8210,0
1967,"Platichthys flesus",4,"European flounder",0,0
1967,"Pleuronectes platessa",3,"European Plaice",296,0
1967,"Pleuronectes platessa",4,"European Plaice",163000,548000
1967,"Pollachius virens",4,"Pollock",329300,1363000
1967,"Reinhardtius hippoglossoides",4,"Greenland halibut",9624300,0
1967,"Scophthalmus maximus",4,"Turbot",73,0
1967,"Scophthalmus rhombus",3,"Brill",0,0
1967,"Sebastes norvegicus",4,"Golden Redfish",0,0
1967,"Solea solea",3,"Common sole",89,0
1967,"Solea solea",4,"Common sole",33400,114000
1967,"Sprattus sprattus",3,"Sprat",7890,0
1967,"Squalus acanthias",3,"Spurdog",44100,158000
1968,"Argentina silus",3,"Greater silver smelt",0,0
1968,"Clupea harengus",3,"Herring",853200,4306000
1968,"Clupea harengus",4,"Herring",84600,960000
1968,"Gadus morhua",3,"Atlantic cod",301830,854000
1968,"Gadus morhua",4,"Atlantic cod",2062770,4956000
1968,"Glyptocephalus cynoglossus",3,"Witch flounder",0,0
1968,"Lamna nasus",3,"Porbeagle shark",806,0
1968,"Limanda limanda",4,"Dab",0,0
1968,"Melanogrammus aeglefinus",4,"Haddock",199900,483000
1968,"Merlangius merlangus",4,"Whiting",485,0
1968,"Microstomus kitt",3,"Lemon sole",0,0
1968,"Molva dypterygia",3,"Blue ling",2790,0
