"year","scientificname","total_tons"
2005,"solea solea",346004
2005,"sprattus sprattus",485367
2005,"trachurus picturatus",168593
2005,"trisopterus esmarkii",329512
2006,"amblyraja radiata",564149
2006,"ammodytes spp",1373404
2006,"argentina silus",486192
2006,"brosme brosme",658960
2006,"clupea harengus",1132054
2006,"coryphaenoides rupestris",330700
2006,"gadus morhua",2141256
2006,"lepidorhombus spp",345666
2006,"leucoraja naevus",564143
2006,"limanda limanda",345762
2006,"mallotus villosus",324070
2006,"melanogrammus aeglefinus",823720
2006,"merlangius merlangus",494274
2006,"molva dypterygia",164761
2006,"molva molva",494280
2006,"nephrops norvegicus",2530242
2006,"pagellus bogaraveo",338424
2006,"pandalus borealis",290901
2006,"platichthys flesus",864470
2006,"pleuronectes platessa",518706
2006,"pollachius pollachius",164728
2006,"pollachius virens",658908
2006,"raja clavata",160901
2006,"reinhardtius hippoglossoides",345860
2006,"salmo trutta",161997
2006,"scophthalmus maximus",518244
2006,"scophthalmus rhombus",172749
2006,"sebastes mentella",833780
2006,"sebastes norvegicus",333562
2006,"solea solea",346004
2006,"sprattus sprattus",485367
2006,"trachurus picturatus",168593
2006,"trisopterus esmarkii",329512
2007,"amblyraja radiata",564149
2007,"ammodytes spp",1373404
2007,"argentina silus",486192
2007,"brosme brosme",658960
2007,"clupea harengus",1132054
2007,"coryphaenoides rupestris",330700
2007,"gadus morhua",2141256
2007,"lepidorhombus spp",345666
2007,"leucoraja naevus",564143
2007,"limanda limanda",345762
2007,"mallotus villosus",324070
2007,"melanogrammus aeglefinus",823720
2007,"merlangius merlangus",494274
2007,"molva dypterygia",164761
2007,"molva molva",494280
2007,"nephrops norvegicus",2530242
2007,"pagellus bogaraveo",338424
2007,"pandalus borealis",290901
2007,"platichthys flesus",864470
2007,"pleuronectes platessa",518706
2007,"pollachius pollachius",164728
2007,"pollachius virens",658908
2007,"raja clavata",160901
2007,"reinhardtius hippoglossoides",345860
2007,"salmo trutta",161997
2007,"scophthalmus maximus",518244
2007,"scophthalmus rhombus",172749
2007,"sebastes mentella",833780
2007,"sebastes norvegicus",333562
2007,"solea solea",346004
2007,"sprattus sprattus",485367
2007,"trachurus picturatus",168593
2007,"trisopterus esmarkii",329512
2008,"amblyraja radiata",564149
2008,"ammodytes spp",1373404
2008,"argentina silus",486192
2008,"brosme brosme",658960
2008,"clupea harengus",1132054
2008,"coryphaenoides rupestris",330700
2008,"gadus morhua",2141256
2008,"lepidorhombus spp",345666
2008,"leucoraja naevus",564143
2008,"limanda limanda",345762
2008,"mallotus villosus",324070
2008,"melanogrammus aeglefinus",823720
2008,"merlangius merlangus",494274
2008,"molva dypterygia",164761
2008,"molva molva",494280
2008,"nephrops norvegicus",2530242
2008,"pagellus bogaraveo",338424
2008,"pandalus borealis",290901
2008,"platichthys flesus",864470
2008,"pleuronectes platessa",518706
2008,"pollachius pollachius",164728
2008,"pollachius virens",658908
2008,"raja clavata",160901
2008,"reinhardtius hippoglossoides",345860
2008,"salmo trutta",161997
2008,"scophthalmus maximus",518244
2008,"scophthalmus rhombus",172749
2008,"sebastes mentella",833780
2008,"sebastes norvegicus",333562
2008,"solea solea",346004
2008,"sprattus sprattus",485367
2008,"trachurus picturatus",168593
2008,"trisopterus esmarkii",329512
2009,"amblyraja radiata",564149
2009,"ammodytes spp",1373404
2009,"argentina silus",486192
2009,"brosme brosme",658960
2009,"clupea harengus",1132054
2009,"coryphaenoides rupestris",330700
2009,"gadus morhua",2141256
2009,"lepidorhombus spp",345666
2009,"leucoraja naevus",564143
2009,"limanda limanda",345762
2009,"mallotus villosus",324070
2009,"melanogrammus aeglefinus",823720
2009,"merlangius merlangus",494274
2009,"molva dypterygia",164761
2009,"molva molva",494280
2009,"nephrops norvegicus",2530242
2009,"pagellus bogaraveo",338424
2009,"pandalus borealis",290901
2009,"platichthys flesus",864470
2009,"pleuronectes platessa",518706
2009,"pollachius pollachius",164728
2009,"pollachius virens",658908
2009,"raja brachyura",160880
2009,"raja clavata",160901
2009,"reinhardtius hippoglossoides",345860
2009,"salmo trutta",161997
2009,"scophthalmus maximus",518244
2009,"scophthalmus rhombus",172749
2009,"sebastes mentella",833780
2009,"sebastes norvegicus",333562
2009,"solea solea",346004
2009,"sprattus sprattus",485367
2009,"trachurus picturatus",168593
2009,"trisopterus esmarkii",329512
2010,"amblyraja radiata",564149
2010,"ammodytes spp",1373404
2010,"argentina silus",486192
2010,"brosme brosme",658960
2010,"clupea harengus",1132054
2010,"coryphaenoides rupestris",330700
2010,"gadus morhua",2141256
2010,"lepidorhombus spp",345666
2010,"leucoraja naevus",564143
2010,"limanda limanda",345762
2010,"mallotus villosus",324070
2010,"melanogrammus aeglefinus",823720
2010,"merlangius merlangus",494274
2010,"molva dypterygia",164761
2010,"molva molva",494280
2010,"nephrops norvegicus",2627559
2010,"pagellus bogaraveo",338424
2010,"pandalus borealis",290901
2010,"platichthys flesus",864470
2010,"pleuronectes platessa",518706
2010,"pollachius pollachius",164728
2010,"pollachius virens",658908
2010,"raja brachyura",160880
2010,"raja clavata",160901
2010,"reinhardtius hippoglossoides",345860
2010,"salmo trutta",161997
2010,"scophthalmus maximus",518244
2010,"scophthalmus rhombus",172749
2010,"sebastes mentella",833780
2010,"sebastes norvegicus",333562
2010,"solea solea",346004
2010,"sprattus sprattus",485367
2010,"trachurus picturatus",168593
2010,"trisopterus esmarkii",329512
2011,"amblyraja radiata",564149
2011,"ammodytes spp",1373404
2011,"argentina silus",486192
2011,"brosme brosme",658960
2011,"clupea harengus",1132054
2011,"coryphaenoides rupestris",330700
2011,"gadus morhua",2141256
2011,"lepidorhombus spp",345666
2011,"leucoraja naevus",564143
2011,"limanda limanda",345762
2011,"mallotus villosus",324070
2011,"melanogrammus aeglefinus",823720
2011,"merlangius merlangus",494274
2011,"molva dypterygia",164761
2011,"molva molva",494280
2011,"nephrops norvegicus",2627559
2011,"pagellus bogaraveo",338424
2011,"pandalus borealis",290901
2011,"platichthys flesus",864470
2011,"pleuronectes platessa",518706
2011,"pollachius pollachius",164728
2011,"pollachius virens",658908
2011,"raja brachyura",160880
2011,"raja clavata",160901
2011,"reinhardtius hippoglossoides",345860
2011,"salmo trutta",161997
2011,"scophthalmus maximus",518244
2011,"scophthalmus rhombus",172749
2011,"sebastes mentella",833780
2011,"sebastes norvegicus",333562
2011,"solea solea",346004
2011,"sprattus sprattus",485367
2011,"trachurus picturatus",168593
2011,"trisopterus esmarkii",329512
2012,"amblyraja radiata",564149
2012,"ammodytes spp",1373404
2012,"argentina silus",486192
2012,"brosme brosme",658960
2012,"clupea harengus",1132054
2012,"coryphaenoides rupestris",330700
2012,"gadus morhua",2141256
2012,"lepidorhombus spp",345666
2012,"leucoraja naevus",564143
2012,"limanda limanda",345762
2012,"mallotus villosus",324070
2012,"melanogrammus aeglefinus",823720
2012,"merlangius merlangus",494274
2012,"molva dypterygia",164761
2012,"molva molva",494280
2012,"nephrops norvegicus",2627559
2012,"pagellus bogaraveo",338424
2012,"pandalus borealis",290901
2012,"platichthys flesus",864470
2012,"pleuronectes platessa",518706
2012,"pollachius pollachius",164728
2012,"pollachius virens",658908
2012,"raja brachyura",160880
2012,"raja clavata",160901
2012,"reinhardtius hippoglossoides",345860
2012,"salmo trutta",161997
2012,"scophthalmus maximus",518244
2012,"scophthalmus rhombus",172749
2012,"sebastes mentella",833780
2012,"sebastes norvegicus",333562
2012,"solea solea",346004
2012,"sprattus sprattus",485367
2012,"trachurus picturatus",168593
2012,"trisopterus esmarkii",329512
2013,"amblyraja radiata",564149
2013,"ammodytes spp",1373404
2013,"argentina silus",486192
2013,"brosme brosme",658960
2013,"clupea harengus",1132054
2013,"coryphaenoides rupestris",330700
2013,"gadus morhua",2141256
2013,"lepidorhombus spp",345666
2013,"leucoraja naevus",564143
2013,"limanda limanda",345762
2013,"mallotus villosus",324070
2013,"melanogrammus aeglefinus",823720
2013,"merlangius merlangus",494274
2013,"molva dypterygia",164761
2013,"molva molva",494280
2013,"nephrops norvegicus",2627559
2013,"pagellus bogaraveo",338424
2013,"pandalus borealis",290901
2013,"platichthys flesus",864470
2013,"pleuronectes platessa",518706
2013,"pollachius pollachius",164728
2013,"pollachius virens",658908
2013,"raja brachyura",160880
2013,"raja clavata",160901
2013,"reinhardtius hippoglossoides",345860
2013,"salmo trutta",161997
2013,"scophthalmus maximus",518244
2013,"scophthalmus rhombus",172749
2013,"sebastes mentella",833780
2013,"sebastes norvegicus",333562
2013,"solea solea",346004
2013,"sprattus sprattus",485367
2013,"trachurus picturatus",168593
2013,"trisopterus esmarkii",329512
2014,"amblyraja radiata",564149
2014,"ammodytes spp",1373404
2014,"argentina silus",486192
2014,"brosme brosme",658960
2014,"clupea harengus",970332
2014,"coryphaenoides rupestris",330700
2014,"gadus morhua",2141256
2014,"lepidorhombus spp",345666
2014,"leucoraja naevus",564143
2014,"limanda limanda",345762
2014,"mallotus villosus",324070
2014,"melanogrammus aeglefinus",823720
2014,"merlangius merlangus",494274
2014,"molva dypterygia",164761
2014,"molva molva",494280
2014,"nephrops norvegicus",2627559
2014,"pagellus bogaraveo",338424
2014,"pandalus borealis",290901
2014,"platichthys flesus",864470
2014,"pleuronectes platessa",518706
2014,"pollachius pollachius",164728
2014,"pollachius virens",658908
2014,"raja brachyura",160880
2014,"raja clavata",160901
2014,"reinhardtius hippoglossoides",345860
2014,"salmo trutta",161997
2014,"scophthalmus maximus",518244
2014,"scophthalmus rhombus",172749
2014,"sebastes mentella",833780
2014,"sebastes norvegicus",333562
2014,"solea solea",346004
2014,"sprattus sprattus",485367
2014,"trachurus picturatus",168593
2014,"trisopterus esmarkii",329512
2015,"ammodytes spp",1373404
2015,"argentina silus",486192
2015,"brosme brosme",658960
2015,"clupea harengus",970332
2015,"coryphaenoides rupestris",330700
2015,"gadus morhua",2141256
2015,"lepidorhombus spp",345666
2015,"leucoraja naevus",564143
2015,"limanda limanda",345762
2015,"mallotus villosus",324070
2015,"melanogrammus aeglefinus",823720
2015,"merlangius merlangus",329516
2015,"molva dypterygia",164761
2015,"molva molva",494280
2015,"nephrops norvegicus",2627559
2015,"pagellus bogaraveo",338424
2015,"pandalus borealis",193934
2015,"platichthys flesus",864470
2015,"pleuronectes platessa",518706
2015,"pollachius pollachius",164728
2015,"pollachius virens",658908
2015,"raja brachyura",160880
2015,"raja clavata",160901
2015,"reinhardtius hippoglossoides",345860
2015,"salmo trutta",161997
2015,"scophthalmus maximus",518244
2015,"scophthalmus rhombus",172749
2015,"sebastes mentella",833780
2015,"sebastes norvegicus",333562
2015,"solea solea",346004
2015,"sprattus sprattus",485367
2015,"trachurus picturatus",168593
2015,"trisopterus esmarkii",329512
2016,"ammodytes spp",1201733
2016,"argentina silus",486192
2016,"brosme brosme",658960
2016,"clupea harengus",970332
2016,"coryphaenoides rupestris",330700
2016,"gadus morhua",1976544
2016,"lepidorhombus spp",345666
2016,"leucoraja naevus",564143
2016,"limanda limanda",345762
2016,"mallotus villosus",324070
2016,"melanogrammus aeglefinus",823720
2016,"merlangius merlangus",329516
2016,"molva dypterygia",164761
2016,"molva molva",494280
2016,"nephrops norvegicus",2238291
2016,"pagellus bogaraveo",338424
2016,"pandalus borealis",96967
2016,"platichthys flesus",691576
2016,"pleuronectes platessa",518706
2016,"pollachius pollachius",164728
2016,"pollachius virens",658908
2016,"raja brachyura",160880
2016,"reinhardtius hippoglossoides",345860
2016,"salmo trutta",161997
2016,"scophthalmus maximus",518244
2016,"sebastes mentella",667024
2016,"sebastes norvegicus",333562
2016,"solea solea",346004
2016,"sprattus sprattus",485367
2016,"trachurus picturatus",168593
2016,"trisopterus esmarkii",164756
2017,"ammodytes spp",686702
2017,"argentina silus",162064
2017,"brosme brosme",329480
2017,"clupea harengus",970332
2017,"coryphaenoides rupestris",165350
2017,"gadus morhua",1647120
2017,"lepidorhombus spp",345666
2017,"mallotus villosus",324070
2017,"melanogrammus aeglefinus",823720
2017,"merlangius merlangus",164758
2017,"molva dypterygia",164761
2017,"molva molva",164760
2017,"nephrops norvegicus",875853
2017,"pagellus bogaraveo",338424
2017,"pandalus borealis",96967
2017,"pleuronectes platessa",518706
2017,"pollachius pollachius",164728
2017,"pollachius virens",658908
2017,"reinhardtius hippoglossoides",172930
2017,"scophthalmus maximus",172748
2017,"sebastes mentella",333512
2017,"sebastes norvegicus",333562
2017,"solea solea",346004
2017,"sprattus sprattus",485367
2017,"trachurus picturatus",168593
2017,"trisopterus esmarkii",164756
2018,"ammodytes spp",686702
2018,"brosme brosme",164740
2018,"clupea harengus",808610
2018,"gadus morhua",1152984
2018,"melanogrammus aeglefinus",494232
2018,"molva molva",164760
2018,"pleuronectes platessa",518706
2018,"pollachius virens",658908
2018,"reinhardtius hippoglossoides",172930
2018,"sebastes norvegicus",166781
2018,"solea solea",346004
2018,"sprattus sprattus",323578
